model,image_size,image_width,text_width,embed_dim,mparams,image_mparams,text_mparams,gflops,image_gflops,text_gflops
ViT-H-16,224,1280.0,1024.0,1024.0,986.26,632.23,354.03,301.72,254.63,47.09
ViT-H-14-CLIPA,224,1280.0,1024.0,1024.0,968.24,632.07,336.16,354.02,334.59,19.43
nllb-clip-base,224,768.0,512.0,512.0,501.89,87.85,414.04,369.6,8.82,360.78
ViT-H-14,224,1280.0,1024.0,1024.0,986.11,632.08,354.03,381.68,334.59,47.09
ViT-H-14-quickgelu,224,1280.0,1024.0,1024.0,986.11,632.08,354.03,381.68,334.59,47.09
ViT-L-14-CLIPA-336,336,1024.0,768.0,768.0,414.54,304.29,110.25,387.39,381.92,5.47
EVA02-L-14-336,336,768.0,768.0,768.0,428.08,304.43,123.65,395.16,381.86,13.3
ViT-L-14-336,336,1024.0,768.0,768.0,427.94,304.29,123.65,395.22,381.92,13.3
ViT-L-16-SigLIP-384,384,768.0,1024.0,1024.0,652.48,316.28,336.19,422.91,383.85,39.06
convnext_xxlarge,256,768.0,1024.0,1024.0,1200.58,846.54,354.03,443.03,395.94,47.09
nllb-clip-base-siglip,384,768.0,512.0,768.0,507.47,93.18,414.3,472.91,112.13,360.78
mt5-xl-ViT-H-14,224,1280.0,512.0,1024.0,2306.75,632.08,1674.68,514.04,334.59,179.45
EVA01-g-14,224,768.0,768.0,1024.0,1136.44,1012.59,123.85,547.36,534.06,13.3
RN50x64,448,128.0,1024.0,1024.0,623.26,420.38,202.88,552.65,529.11,23.55
EVA01-g-14-plus,224,768.0,1024.0,1024.0,1366.62,1012.59,354.03,581.15,534.06,47.09
ViT-g-14,224,1408.0,1024.0,1024.0,1366.68,1012.65,354.03,581.15,534.06,47.09
convnext_xxlarge_320,320,768.0,1024.0,1024.0,1200.58,846.54,354.03,665.74,618.65,47.09
xlm-roberta-large-ViT-H-14,224,1280.0,512.0,1024.0,1193.01,632.08,560.94,671.01,334.59,336.42
ViT-SO400M-14-SigLIP-384,384,768.0,1152.0,1152.0,877.96,428.23,449.73,723.48,670.35,53.13
ViT-H-14-CLIPA-336,336,1280.0,1024.0,1024.0,968.64,632.48,336.16,800.88,781.45,19.43
ViT-bigG-14-CLIPA,224,1664.0,1280.0,1280.0,2517.22,1844.9,672.32,1007.93,967.5,40.44
ViT-H-14-378-quickgelu,378,1280.0,1024.0,1024.0,986.71,632.68,354.03,1054.05,1006.96,47.09
ViT-bigG-14,224,1664.0,1280.0,1280.0,2539.57,1844.91,694.66,1065.36,967.5,97.86
nllb-clip-large,224,1280.0,512.0,1024.0,1399.22,632.08,767.14,1468.46,334.59,1133.87
nllb-clip-large-siglip,384,768.0,512.0,1152.0,1195.5,428.23,767.27,1804.22,670.35,1133.87
ViT-e-14,224,1792.0,1280.0,1280.0,4581.09,3807.72,773.37,2091.45,1981.35,110.1
ViT-bigG-14-CLIPA-336,336,1664.0,1280.0,1280.0,2517.76,1845.44,672.32,2271.58,2231.15,40.44
EVA02-E-14,224,768.0,1024.0,1024.0,4704.59,4350.56,354.03,2311.42,2264.33,47.09
EVA02-E-14-plus,224,768.0,1280.0,1024.0,5044.89,4350.56,694.33,2362.19,2264.33,97.86
ViT-B-16-text-plus,224,768.0,768.0,768.0,210.04,86.39,123.65,48.43,35.13,13.3
mammut_ViT-S-32,224,384.0,384.0,384.0,85.62,22.64,62.83,14.21,2.29,5.21
mammut_ViT-M-32,224,512.0,512.0,512.0,134.73,39.69,94.78,22.5,3.99,7.92
mammut_ViT-S-16,224,384.0,384.0,384.0,84.79,21.81,62.83,21.79,9.2,5.21
mammut_ViT-B-32,224,768.0,512.0,512.0,183.02,87.85,94.78,27.34,8.82,7.92
mammut_ViT-B-16,224,768.0,768.0,768.0,290.52,86.39,203.54,81.84,35.13,19.14
mammut_ViT-L-14,224,1024.0,768.0,768.0,508.29,303.97,203.54,209.84,162.03,19.14
mammut_ViT-H-14,224,1280.0,1024.0,1024.0,1188.14,632.08,554.76,477.33,334.59,54.88
coca_ViT-S-32,224,384.0,384.0,384.0,125.35,23.33,40.44,17.1,2.49,3.42
coca_ViT-S-16,224,384.0,384.0,384.0,124.52,22.5,40.44,24.16,9.54,3.42
coca_ViT-M-32,224,512.0,512.0,512.0,205.27,40.88,63.43,28.77,4.34,6.04
coca_ViT-B-16,224,768.0,768.0,768.0,420.68,88.95,123.65,87.81,36.35,13.48
ViT-SO150M-14-smaller-text,224,896.0,768.0,768.0,257.41,133.76,123.65,85.74,72.44,13.3
ViT-SO150M-14,224,896.0,896.0,896.0,352.63,133.87,218.76,99.53,72.44,27.09
ViT-SO400M-14,224,1152.0,1152.0,1152.0,905.48,416.76,488.72,288.35,221.39,66.96
sg_cap_ViT-B-32,224,,,,196.19,87.85,44.51,28.27,,
sg_cap_ViT-B-16,224,,,,194.54,86.19,44.51,55.76,,
